months_as_customer,age,insured_sex,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_education_level,insured_occupation,insured_hobbies,capital-gains,capital-loss,incident_date,incident_state,incident_city,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
328,48,MALE,OH,1000,1406.91,0,MD,craft-repair,sleeping,53300,0,2015-01-25,SC,Columbus,YES,1,2,YES,71610,6510,13020,52080,Y
228,42,MALE,IN,2000,1197.22,5000000,MD,machine-op-inspct,reading,0,0,2015-01-21,VA,Riverwood,?,0,0,?,5070,780,780,3510,Y
134,29,FEMALE,OH,2000,1413.14,5000000,PhD,sales,board-games,35100,0,2015-02-22,NY,Columbus,NO,2,3,NO,34650,7700,3850,23100,N
256,41,FEMALE,IL,2000,1415.74,6000000,PhD,armed-forces,board-games,48900,-62400,2015-01-10,OH,Arlington,?,1,2,NO,63400,6340,6340,50720,Y
228,44,MALE,IL,1000,1583.91,6000000,Associate,sales,board-games,66000,-46000,2015-02-17,NY,Arlington,NO,0,1,NO,6500,1300,650,4550,N
256,39,FEMALE,OH,1000,1351.1,0,PhD,tech-support,bungie-jumping,0,0,2015-01-02,SC,Arlington,NO,0,2,NO,64100,6410,6410,51280,Y
137,34,MALE,IN,1000,1333.35,0,PhD,prof-specialty,board-games,0,-77000,2015-01-13,NY,Springfield,?,0,0,?,78650,21450,7150,50050,N
165,37,MALE,IL,1000,1137.03,0,Associate,tech-support,base-jumping,0,0,2015-02-27,VA,Columbus,?,2,2,YES,51590,9380,9380,32830,N
27,33,FEMALE,IL,500,1442.99,0,PhD,other-service,golf,0,0,2015-01-30,WV,Arlington,NO,1,1,YES,27700,2770,2770,22160,N
212,42,MALE,IL,500,1315.68,0,PhD,priv-house-serv,camping,0,-39300,2015-01-05,NC,Hillsdale,NO,2,1,?,42300,4700,4700,32900,N
235,42,FEMALE,OH,500,1253.12,4000000,Masters,exec-managerial,dancing,38400,0,2015-01-06,NY,Northbend,YES,2,2,?,87010,7910,15820,63280,N
447,61,FEMALE,OH,2000,1137.16,0,High School,exec-managerial,skydiving,0,-51000,2015-02-15,SC,Springfield,YES,1,2,YES,114920,17680,17680,79560,N
60,23,MALE,OH,500,1215.36,3000000,MD,protective-serv,reading,0,0,2015-01-22,SC,Northbend,YES,1,0,NO,56520,4710,9420,42390,N
121,34,FEMALE,OH,1000,936.61,0,MD,armed-forces,bungie-jumping,52800,-32800,2015-01-08,SC,Springfield,NO,1,1,NO,7280,1120,1120,5040,N
180,38,FEMALE,OH,2000,1301.13,0,College,machine-op-inspct,board-games,41300,-55500,2015-01-15,SC,Springfield,NO,0,2,YES,46200,4200,8400,33600,Y
473,58,FEMALE,IN,2000,1131.4,0,MD,transport-moving,movies,55700,0,2015-01-29,WV,Hillsdale,YES,0,0,NO,63120,10520,10520,42080,Y
70,26,MALE,OH,1000,1199.44,5000000,College,machine-op-inspct,hiking,63600,0,2015-02-22,NY,Riverwood,?,1,2,YES,52110,5790,5790,40530,N
140,31,MALE,IN,500,708.64,6000000,High School,machine-op-inspct,reading,53500,0,2015-01-06,WV,Northbend,NO,0,2,YES,77880,14160,7080,56640,N
