Age,Agency_Code,Type,Commision,Channel,Duration,Sales,Destination,Claimed,Product_Name,Claimed_Amount
48,C2B,Airlines,0.7,Online,7,2.51,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,34,20,ASIA,No,Customised Plan,0
39,CWT,Travel Agency,5.94,Online,3,9.9,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,4,26,ASIA,No,Cancellation Plan,0
33,JZI,Airlines,6.3,Online,53,18,ASIA,No,Bronze Plan,0
45,JZI,Airlines,15.75,Online,8,45,ASIA,Yes,Bronze Plan,4812
61,CWT,Travel Agency,35.64,Online,30,59.4,Americas,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,16,80,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,19,14,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,42,43,ASIA,No,Cancellation Plan,0
37,C2B,Airlines,46.96,Online,368,187.85,ASIA,Yes,Silver Plan,5272
43,C2B,Airlines,15.88,Online,77,63.5,ASIA,Yes,Silver Plan,5055
36,EPX,Travel Agency,0,Online,23,110,EUROPE,No,Customised Plan,0
52,C2B,Airlines,5.88,Online,7,23.5,ASIA,Yes,Bronze Plan,4876
31,CWT,Travel Agency,23.76,Online,21,39.6,ASIA,No,Customised Plan,0
39,C2B,Airlines,54,Online,366,216,ASIA,Yes,Silver Plan,5324
36,EPX,Travel Agency,0,Online,2,42,ASIA,No,Customised Plan,0
45,CWT,Travel Agency,59.4,Online,40,99,Americas,No,Customised Plan,0
23,JZI,Airlines,18.2,Online,33,52,ASIA,No,Bronze Plan,0
29,EPX,Travel Agency,0,Online,66,32,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,71,62,ASIA,No,Cancellation Plan,0
28,C2B,Airlines,17.25,Online,8,69,ASIA,No,Gold Plan,0
27,C2B,Airlines,6.25,Online,8,25,ASIA,Yes,Silver Plan,5498
36,EPX,Travel Agency,0,Online,25,51,ASIA,No,Cancellation Plan,0
44,JZI,Airlines,14,Online,21,40,ASIA,No,Bronze Plan,0
36,EPX,Travel Agency,0,Online,29,30,ASIA,No,Cancellation Plan,0
36,EPX,Travel Agency,0,Online,42,27,ASIA,No,Customised Plan,0
36,EPX,Travel Agency,0,Online,31,20,ASIA,No,Customised Plan,0
46,JZI,Airlines,6.3,Online,36,18,ASIA,No,Bronze Plan,0
25,JZI,Airlines,25.55,Online,70,50,Americas,No,Bronze Plan,0
60,JZI,Airlines,7.7,Online,11,22,ASIA,No,Bronze Plan,0
30,C2B,Airlines,15,Online,27,60,ASIA,Yes,Bronze Plan,4661
36,EPX,Travel Agency,0,Online,16,42,ASIA,Yes,Customised Plan,4069
40,C2B,Airlines,20.38,Online,32,81.5,ASIA,Yes,Silver Plan,5013
25,EPX,Travel Agency,0,Offline,20,37,Americas,Yes,Customised Plan,4494
27,C2B,Airlines,9.75,Online,90,39,ASIA,Yes,Silver Plan,5076
